CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO
87784207;Elne;N;O;677000;1;481+198;ELNE;PYRENEES-ORIENTALES;4035;d99e23da-6667-11e3-89ff-01f464e0362d;696998.9957000017;6166387.4241;2.9634830505861123;42.59719348914475;42.5971934891,2.96348305059
87784843;Err;N;O;669000;1;046+613;ERR;PYRENEES-ORIENTALES;4070;e1875a50-19bf-11e5-a6ff-01fc64e0362d;619983.7624000013;6149700.129000001;2.028889250014868;42.442767182008296;42.442767182,2.02888925001
87276055;Ermont-Eaubonne;N;O;964000;1;014+174;;;4067;d9d2eec8-6667-11e3-89ff-01f464e0362d;;;;;
87713677;Seurre;O;O;867000;1;069+375;;;6840;c0d8e78c-f312-11e3-90ff-015864e0362d;;;;;
87185686;Fougerolles;O;N;054000;1;102+393;FOUGEROLLES;HAUTE-SAONE;9224;e54bb912-6667-11e3-a7ff-01f464e0362d;954640.3423999995;6759693.396899998;6.408212178322897;47.88816786855349;47.8881678686,6.40821217832
87592345;St-Sulpice-Laurière;O;O;590000;2;368+138;SAINT-SULPICE-LAURIÈRE;HAUTE-VIENNE;6680;d9acca9a-6667-11e3-89ff-01f464e0362d;581989.927699998;6550991.2467;1.473745331763644;46.04841813858183;46.0484181386,1.47374533176
87313387;Estrées-St-Denis;O;O;317000;1;048+753;;;4085;293e64e8-dfbc-11e3-a2ff-01a464e0362d;;;;;
87574673;Crotelles;O;N;550000;1;213+424;VILLEDÔMER;INDRE-ET-LOIRE;9045;e54453ee-6667-11e3-a7ff-01f464e0362d;539319.7224000022;6716496.182700001;0.8642247031975431;47.529276095899725;47.5292760959,0.864224703198
87731885;Alleyras;N;O;790000;1;554+330;ALLEYRAS;HAUTE-LOIRE;2850;d94c68c2-6667-11e3-89ff-01f464e0362d;753132.9452999979;6424626.932599999;3.67331356088539;44.91879988332404;44.9187998833,3.67331356089
87534339;Mulhouse-Musées (Tram/Train);N;O;132000;1;002+256;MULHOUSE;HAUT-RHIN;131296;298f871a-dfbc-11e3-a2ff-01a464e0362d;1021945.6819000021;6747628.448600002;7.298675911955275;47.75015974020797;47.7501597402,7.29867591196
87751362;Pertuis;N;O;923000;1;076+833;PERTUIS;VAUCLUSE;9402;d9c47450-6667-11e3-89ff-01f464e0362d;901886.2140000015;6290466.092500001;5.503648973811172;43.684422146424524;43.6844221464,5.50364897381
87487819;Longué;O;N;510000;1;037+020;LONGUÉ-JUMELLES;MAINE-ET-LOIRE;5213;e54ba4e6-6667-11e3-a7ff-01f464e0362d;465138.86930000037;6703137.5009;-0.113931794943756;47.38689457654846;47.3868945765,-0.113931794944
87545731;Bonneval;O;O;550000;1;119+548;BONNEVAL;EURE-ET-LOIR;3287;d9af412a-6667-11e3-89ff-01f464e0362d;580071.0590000004;6788546.230999999;1.386149607564728;48.18624263661258;48.1862426366,1.38614960756
87394254;La Loupe;N;O;422000;1;000+000;LA LOUPE;EURE-ET-LOIR;4697;29698290-dfbc-11e3-a2ff-01a464e0362d;553329.6731999964;6821423.937100001;1.015317343077085;48.476487605436304;48.4764876054,1.01531734308
87784488;Cases-de-Pène;O;N;676000;1;463+765;ESPIRA-DE-L'AGLY;PYRENEES-ORIENTALES;3499;d9c2a8a8-6667-11e3-89ff-01f464e0362d;683051.0830999985;6186628.236499999;2.793116620024166;42.77898338998102;42.77898339,2.79311662002
87286872;Baisieux;O;O;269000;1;012+559;BAISIEUX;NORD;3069;e006de10-19bf-11e5-82ff-01fc64e0362d;716637.811999999;7057978.5934999995;3.234698972261435;50.61859900486093;50.6185990049,3.23469897226
87592501;La Coquille;N;O;611000;1;448+643;LA COQUILLE;DORDOGNE;4636;e00e0f80-19bf-11e5-82ff-01fc64e0362d;541942.9919999987;6495494.7095;0.974416245279568;45.54069297172124;45.5406929717,0.97441624528
87295725;Avesnelles;N;O;267000;2;094+894;AVESNELLES;NORD;3025;d9a45c1a-6667-11e3-89ff-01f464e0362d;767733.5943000019;7002796.7743999995;3.946104821951606;50.11977556237729;50.1197755624,3.94610482195
87566919;Lentilly-Charpenay;N;O;782000;1;014+600;LENTILLY;RHONE;122642;c05726ec-f312-11e3-90ff-015864e0362d;830619.8751000017;6525490.693999998;4.682268018683733;45.816528122388796;45.8165281224,4.68226801868
87471326;Corps-Nuds;N;O;466000;1;043+280;CORPS-NUDS;ILLE-ET-VILAINE;3822;d9b6bf7c-6667-11e3-89ff-01f464e0362d;358868.0437999964;6774860.566399999;-1.575345244729686;47.985160008403604;47.9851600084,-1.57534524473
87413385;Yvetot;N;O;340000;1;177+127;YVETOT;SEINE-MARITIME;7377;29054fe6-dfbc-11e3-a2ff-01a464e0362d;537367.0085999966;6949321.256200001;0.7501274750114081;49.62220857990937;49.6222085799,0.750127475011
