CODE_LIGNE;LIB_LIGNE;STATUT;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
745000;Ligne de Villeneuve-St-Georges à Montargis;Exploitée;1;100+025;123+828;79e6b8f6-e28c-11e8-92ff-01b064e0362d;661547.8764000013;6778256.413699999;680677.6286000013;6768133.061700001;2.483401817834625;48.1035487469304;2.74085060050449;48.01329760372993;48.1035487469,2.48340181783;48.0132976037,2.7408506005
431302;Raccordement d'Auneau (LGV);Exploitée;1;065+833;066+442;79dce13a-e28c-11e8-92ff-01b064e0362d;608907.6757000014;6815396.427299999;609416.1761000007;6816266.008699998;1.768488708811672;48.432455265429006;1.7751798701133898;48.4403485380861;48.4324552654,1.76848870881;48.4403485381,1.77517987011
838000;Ligne de St-Julien (Troyes) à Gray;Exploitée;1;231+180;233+812;79e46eca-e28c-11e8-92ff-01b064e0362d;815730.8662;6753683.1336;817761.9114999995;6753949.1033000015;4.548175838233547;47.873331439002;4.575409734130287;47.87536312918809;47.873331439,4.54817583823;47.8753631292,4.57540973413
990321;Raccordement nord de Villeneuve-Triage;Exploitée;1;082+530;083+770;79e29244-e28c-11e8-92ff-01b064e0362d;658710.2369000018;6850782.6424;658371.3480999991;6851558.579300001;2.438349284494333;48.75583114761188;2.433663951829237;48.762787963263804;48.7558311476,2.43834928449;48.7627879633,2.43366395183
564300;Raccordement de Tours à Monts (bifurcation de Bordeaux);Exploitée;1;235+720;237+742;79dd4840-e28c-11e8-92ff-01b064e0362d;526139.4536999986;6701208.817299999;526746.8399000019;6699601.572500002;0.6950572992542411;47.38838130947182;0.7037245987792841;47.374078176779484;47.3883813095,0.695057299254;47.3740781768,0.703724598779
977000;Ligne des Invalides à Versailles-Rive-Gauche;Exploitée;1;000+000;017+611;79e271f2-e28c-11e8-92ff-01b064e0362d;649787.5398999974;6862776.250999998;636023.755900003;6855929.045000002;2.315568300792787;48.86306020707956;2.129001154178733;48.80026427724551;48.8630602071,2.31556830079;48.8002642772,2.12900115418
055000;Ligne de Bas-Évette à Giromagny;Exploitée;1;435+740;443+061;79d6f840-e28c-11e8-92ff-01b064e0362d;985466.1041999981;6738102.3902;986976.3324000016;6744466.073100001;6.806271191659716;47.68137540954431;6.83048929530894;47.737928598513925;47.6813754095,6.80627119166;47.7379285985,6.83048929531
368300;Raccordement de Sotteville à Darnétal;Exploitée;1;136+735;137+104;79dc31b6-e28c-11e8-92ff-01b064e0362d;563736.987999998;6927917.481899999;563973.9139000028;6927970.457400002;1.121821212295039;49.436109735939525;1.125068313081348;49.43663635010778;49.4361097359,1.1218212123;49.4366363501,1.12506831308
920000;Ligne de St-Auban à Digne;Exploitée;1;306+460;308+200;79e307e4-e28c-11e8-92ff-01b064e0362d;939997.6953999996;6333278.2608;940969.3555999994;6334239.8627;5.996000542171095;44.05752447132372;6.008575660193459;44.065840420483234;44.0575244713,5.99600054217;44.0658404205,6.00857566019
032000;Ligne de Culmont-Chalindrey à Toul;Exploitée;1;000-040;114+011;79d6d358-e28c-11e8-92ff-01b064e0362d;886146.3460000008;6749983.527800001;911775.5207000002;6845887.0317;5.48808570495756;47.82384993374168;5.877058201318163;48.6784144720613;47.8238499337,5.48808570496;48.6784144721,5.87705820132
556000;Ligne de Chartres à Orléans;Exploitée;1;025+497;073+525;79e5ecda-e28c-11e8-92ff-01b064e0362d;597458.2776999995;6797846.987100001;617349.7465000004;6757951.432300001;1.617882347339254;48.27288107601146;1.893486556314667;47.916743838546225;48.272881076,1.61788234734;47.9167438385,1.89348655631
500000;Ligne de Chartres à Bordeaux-St-Jean;Exploitée;2;491+569;610+498;79dc21c4-e28c-11e8-92ff-01b064e0362d;418839.68150000274;6522913.078699999;420944.0948000029;6424044.701000001;-0.617587884909048;45.74784035534782;-0.533658566208717;44.859370163953805;45.7478403553,-0.617587884909;44.859370164,-0.533658566209
887000;Ligne de Lyon-Croix-Rousse à Trévoux;Exploitée;1;006+757;016+753;79e21b48-e28c-11e8-92ff-01b064e0362d;845712.2956999987;6526298.4717000015;842345.677199997;6533246.5271999985;4.876822822760476;45.82073764611465;4.835555422766014;45.88399961125228;45.8207376461,4.87682282276;45.8839996113,4.83555542277
204000;Ligne de Mohon à Thionville;Exploitée;2;140+606;276+123;79d7b370-e28c-11e8-92ff-01b064e0362d;826008.0822999999;6962405.204999998;929605.6482999995;6920975.411899999;4.74739564438374;49.748066427157426;6.159842715329325;49.346979047918225;49.7480664272,4.74739564438;49.3469790479,6.15984271533
266300;Raccordement de Lezennes;Exploitée;1;001+327;003+228;79d9a450-e28c-11e8-92ff-01b064e0362d;706986.246600002;7056878.825300001;707973.4127999991;7058375.177900001;3.098531392932099;50.60891188782385;3.112484059014946;50.62232906538298;50.6089118878,3.09853139293;50.6223290654,3.11248405901
169000;Ligne de Kalhausen à Sarralbe;Exploitée;1;000+082;007+985;79d78996-e28c-11e8-92ff-01b064e0362d;1001474.2238999978;6889519.886;995298.3341000006;6885284.2588;7.124716021448651;49.034685495840364;7.037406950001745;48.99951898415977;49.0346854958,7.12471602145;48.9995189842,7.03740695
