stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87721472,Tarare,,45.8898660,4.43917500,,,1,
StopPoint:OCECar TER-87721472,Tarare,,45.8898660,4.43917500,,,0,StopArea:OCE87721472
StopPoint:OCETrain TER-87721472,Tarare,,45.8898660,4.43917500,,,0,StopArea:OCE87721472
StopArea:OCE87721480,Dardilly les Mouilles,,45.7967690,4.76004100,,,1,
StopPoint:OCECar TER-87721480,Dardilly les Mouilles,,45.7967690,4.76004100,,,0,StopArea:OCE87721480
StopPoint:OCETrain TER-87721480,Dardilly les Mouilles,,45.7967690,4.76004100,,,0,StopArea:OCE87721480
StopArea:OCE87721506,Écully la Demi-Lune,,45.7657300,4.77952200,,,1,
StopPoint:OCETramTrain-87721506,Écully la Demi-Lune,,45.7657300,4.77952200,,,0,StopArea:OCE87721506
StopArea:OCE87721514,Tassin,,45.7615410,4.75858500,,,1,
StopPoint:OCETrain TER-87721514,Tassin,,45.7615410,4.75858500,,,0,StopArea:OCE87721514
StopPoint:OCETramTrain-87721514,Tassin,,45.7615410,4.75858500,,,0,StopArea:OCE87721514
StopArea:OCE87721522,Le Méridien La Ferrière,,45.7684990,4.74844300,,,1,
StopPoint:OCECar TER-87721522,Le Méridien La Ferrière,,45.7684990,4.74844300,,,0,StopArea:OCE87721522
StopPoint:OCETramTrain-87721522,Le Méridien La Ferrière,,45.7684990,4.74844300,,,0,StopArea:OCE87721522
StopArea:OCE87721530,Charbonnières-les-Bains,,45.7821730,4.73587500,,,1,
StopPoint:OCECar TER-87721530,Charbonnières-les-Bains,,45.7821730,4.73587500,,,0,StopArea:OCE87721530
StopPoint:OCETramTrain-87721530,Charbonnières-les-Bains,,45.7821730,4.73587500,,,0,StopArea:OCE87721530
StopArea:OCE87721548,La Tour-de-Salvagny,,45.7998820,4.71649200,,,1,
StopPoint:OCETramTrain-87721548,La Tour-de-Salvagny,,45.7998820,4.71649200,,,0,StopArea:OCE87721548
StopArea:OCE87721555,Lentilly,,45.8216840,4.66704900,,,1,
StopPoint:OCECar TER-87721555,Lentilly,,45.8216840,4.66704900,,,0,StopArea:OCE87721555
StopPoint:OCETramTrain-87721555,Lentilly,,45.8216840,4.66704900,,,0,StopArea:OCE87721555
StopArea:OCE87721563,Fleurieux-sur-l'Arbresle,,45.8449940,4.66038100,,,1,
StopPoint:OCETramTrain-87721563,Fleurieux-sur-l'Arbresle,,45.8449940,4.66038100,,,0,StopArea:OCE87721563
StopArea:OCE87721605,Sain-Bel,,45.8110930,4.60124900,,,1,
StopPoint:OCECar TER-87721605,Sain-Bel,,45.8110930,4.60124900,,,0,StopArea:OCE87721605
StopPoint:OCETramTrain-87721605,Sain-Bel,,45.8110930,4.60124900,,,0,StopArea:OCE87721605
StopArea:OCE87721696,Jumeaux,,45.4302010,3.33921100,,,1,
StopPoint:OCECar TER-87721696,Jumeaux,,45.4302010,3.33921100,,,0,StopArea:OCE87721696
StopArea:OCE87721704,Les Flachères,,45.7771590,4.75406800,,,1,
StopPoint:OCETrain TER-87721704,Les Flachères,,45.7771590,4.75406800,,,0,StopArea:OCE87721704
StopArea:OCE87721738,Dommartin - Lissieu,,45.8478500,4.73215700,,,1,
StopPoint:OCETrain TER-87721738,Dommartin - Lissieu,,45.8478500,4.73215700,,,0,StopArea:OCE87721738
StopArea:OCE87721746,Civrieux-d'Azergues,,45.8590380,4.71831100,,,1,
StopPoint:OCETrain TER-87721746,Civrieux-d'Azergues,,45.8590380,4.71831100,,,0,StopArea:OCE87721746
StopArea:OCE87721753,Châtillon d'Azergues,,45.8752480,4.64517000,,,1,
StopPoint:OCECar TER-87721753,Châtillon d'Azergues,,45.8752480,4.64517000,,,0,StopArea:OCE87721753
StopPoint:OCETrain TER-87721753,Châtillon d'Azergues,,45.8752480,4.64517000,,,0,StopArea:OCE87721753
StopArea:OCE87721761,Chessy,,45.8855240,4.62230400,,,1,
StopPoint:OCECar TER-87721761,Chessy,,45.8855240,4.62230400,,,0,StopArea:OCE87721761
StopPoint:OCETrain TER-87721761,Chessy,,45.8855240,4.62230400,,,0,StopArea:OCE87721761
StopArea:OCE87721779,Le Breuil (Rhône),,45.8965910,4.59138400,,,1,
StopPoint:OCECar TER-87721779,Le Breuil (Rhône),,45.8965910,4.59138400,,,0,StopArea:OCE87721779
StopArea:OCE87721787,Bois-d'Oingt - Légny,,45.9065450,4.57513000,,,1,
StopPoint:OCECar TER-87721787,Bois-d'Oingt - Légny,,45.9065450,4.57513000,,,0,StopArea:OCE87721787
StopPoint:OCETrain TER-87721787,Bois-d'Oingt - Légny,,45.9065450,4.57513000,,,0,StopArea:OCE87721787
StopArea:OCE87721811,Ternand,,45.9461220,4.53630200,,,1,
StopPoint:OCECar TER-87721811,Ternand,,45.9461220,4.53630200,,,0,StopArea:OCE87721811
StopArea:OCE87721829,Chamelet,,45.9816670,4.50712500,,,1,
StopPoint:OCECar TER-87721829,Chamelet,,45.9816670,4.50712500,,,0,StopArea:OCE87721829
StopPoint:OCETrain TER-87721829,Chamelet,,45.9816670,4.50712500,,,0,StopArea:OCE87721829
StopArea:OCE87721845,Chambost-Allières,,46.0186410,4.49907400,,,1,
StopPoint:OCECar TER-87721845,Chambost-Allières,,46.0186410,4.49907400,,,0,StopArea:OCE87721845
StopArea:OCE87721852,Grandris La Folletière,,46.0356900,4.49362300,,,1,
StopPoint:OCECar TER-87721852,Grandris La Folletière,,46.0356900,4.49362300,,,0,StopArea:OCE87721852
StopArea:OCE87721860,Lamure-sur-Azergues,,46.0611100,4.49212100,,,1,
StopPoint:OCECar TER-87721860,Lamure-sur-Azergues,,46.0611100,4.49212100,,,0,StopArea:OCE87721860
StopPoint:OCETrain TER-87721860,Lamure-sur-Azergues,,46.0611100,4.49212100,,,0,StopArea:OCE87721860
StopArea:OCE87721878,Saint-Nizier-d'Azergues,,46.0870280,4.48039100,,,1,
StopPoint:OCECar TER-87721878,Saint-Nizier-d'Azergues,,46.0870280,4.48039100,,,0,StopArea:OCE87721878
StopArea:OCE87721894,Poule,,46.1480420,4.45660300,,,1,
StopPoint:OCECar TER-87721894,Poule,,46.1480420,4.45660300,,,0,StopArea:OCE87721894
StopArea:OCE87721902,Ambert Piscine,,45.5390410,3.72801100,,,1,
StopPoint:OCECar TER-87721902,Ambert Piscine,,45.5390410,3.72801100,,,0,StopArea:OCE87721902
StopArea:OCE87721910,Saint-Paulien,,45.1374660,3.81426900,,,1,
StopPoint:OCECar TER-87721910,Saint-Paulien,,45.1374660,3.81426900,,,0,StopArea:OCE87721910
StopArea:OCE87721936,Neris les Bains Place,,46.2875840,2.66161500,,,1,
StopPoint:OCECar TER-87721936,Neris les Bains Place,,46.2875840,2.66161500,,,0,StopArea:OCE87721936
StopArea:OCE87721944,Abrest Mairie,,46.0988680,3.44479100,,,1,
StopPoint:OCECar TER-87721944,Abrest Mairie,,46.0988680,3.44479100,,,0,StopArea:OCE87721944
StopArea:OCE87722025,Lyon Perrache,,45.7485080,4.82577700,,,1,
StopPoint:OCETrain TER-87722025,Lyon Perrache,,45.7485080,4.82577700,,,0,StopArea:OCE87722025
StopArea:OCE87722207,Oullins,,45.7166000,4.81350300,,,1,
StopPoint:OCETrain TER-87722207,Oullins,,45.7166000,4.81350300,,,0,StopArea:OCE87722207
StopArea:OCE87722231,Pierre-Bénite,,45.7066770,4.82450600,,,1,
StopPoint:OCETrain TER-87722231,Pierre-Bénite,,45.7066770,4.82450600,,,0,StopArea:OCE87722231
StopArea:OCE87722249,Irigny - Yvours,,45.6900230,4.83230500,,,1,
StopPoint:OCETrain TER-87722249,Irigny - Yvours,,45.6900230,4.83230500,,,0,StopArea:OCE87722249
StopArea:OCE87722264,Vernaison,,45.6456630,4.81328000,,,1,
StopPoint:OCETrain TER-87722264,Vernaison,,45.6456630,4.81328000,,,0,StopArea:OCE87722264
StopArea:OCE87722298,Grigny le Sablon,,45.6071390,4.79587800,,,1,
StopPoint:OCETrain TER-87722298,Grigny le Sablon,,45.6071390,4.79587800,,,0,StopArea:OCE87722298
StopArea:OCE87722405,Givors,,45.5849480,4.76608600,,,1,
StopPoint:OCECar TER-87722405,Givors,,45.5849480,4.76608600,,,0,StopArea:OCE87722405
StopPoint:OCETrain TER-87722405,Givors,,45.5849480,4.76608600,,,0,StopArea:OCE87722405
StopArea:OCE87722439,Givors Canal,,45.5957420,4.77252200,,,1,
