route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::325702f0-8067-4665-a0d8-5ebce7e59d0a:,1187,C15,LER,,2,,,
FR:Line::3334AEE5-6669-4426-A9E8-1F7704E8F5BD:,1187,K2,Caen - Cherbourg,,2,,,
FR:Line::339A8023-13E5-4F80-8ED9-732C66565508:,1187,P834,Rémilly - Morhange,,3,,,
FR:Line::339BB070-8140-43DB-A443-4A9C5883F81B:,1187,P24,Gap - Grenoble,,2,,,
FR:Line::34629FAB-F594-4CB1-ACC4-BB0ACA01CA14:,1187,P10,Paris - Châteaudun - Vendôme,,2,,,
FR:Line::3495698f-c958-481d-9982-28adf0aae091:,1187,K1,Paris - Dieppe,,2,,,
FR:Line::34C70115-8252-4E3B-AFC2-27A8443879D2:,1187,P51,51. Bordeaux-Hendaye,,2,,,
FR:Line::36510BCA-CF80-4B39-82E1-85C3D97AC26B:,1187,K31,31. Bordeaux-Limoges-Montluçon,,3,,,
FR:Line::36f7dfc0-5cfe-4e51-8d02-bcca95af4ef4:,1187,C11,Dijon-Besançon,,2,,,
FR:Line::37186AF1-E4CC-4140-9498-6DA3F341B682:,1187,P54,Chartres - Courtalain - Droué (Car),,3,,,
FR:Line::3730A943-C62B-4673-845F-64A7E3DAF78B:,1187,C2,Toulouse Matabiau - Carmaux,,2,,,
FR:Line::373982A1-604D-40DF-A225-784E8B249CD7:,OCEdefault,P900,Verdun - Châlons en Champagne,,3,,,
FR:Line::3849d1e2-7f65-45ab-8a4e-d53d608086c1:,1187,C36+,STRASBOURG - NIEDERBRONN LES BAINS,,2,,,
FR:Line::3850fd4a-f112-46df-bfc2-c46d90ef2252:,1187,K839,METZ - LONGWY TER,,3,,,
FR:Line::38B9D3C2-5951-4F05-87BA-2011072E93FD:,1187,P9,Salbris - Romorantin - Valençay - Luçay le Mâle,,2,,,
FR:Line::3A0C5DD1-9620-47E8-90BD-9DF835D04A36:,1187,K26,Le Mans - La Flèche - Saumur,,3,,,
FR:Line::3A18A763-7C98-4D99-807C-E3CDEB36D183:,1187,P816,Saverne - Haguenau,,3,,,
FR:Line::3A8EBF2F-6FA9-424B-A5C1-79893B3A3675:,1187,P4,Romans - Valence - Die,,2,,,
FR:Line::3B1985FF-F66B-439A-B761-212BB96A931F:,1187,C7,Nimes - Genolhac,,2,,,
FR:Line::3BFEB21D-85AF-409B-9346-ED10CA3D8ED0:,1187,C10,Nantes - Pornic,,2,,,
FR:Line::3CA3AA2F-D938-47FC-854D-29CAF6919A16:,1187,K41,Lyon Part Dieu - Bourg St-Maurice,,2,,,
FR:Line::3D294378-9EB2-418C-82FD-549205FF7899:,1187,P23,23. Limoges-St-Yrieix-Brive,,2,,,
FR:Line::3DCDF960-BA93-4443-899F-283A2A13B7FE:,1187,L4,Coppet - Annemasse,,2,,,
FR:Line::3E4DA822-E4FA-4B43-A7E9-B8B655161197:,1187,K13,Lyon Perrache - Lyon Part Dieu - Belfort,,2,,,
FR:Line::3EA7647F-5C9C-4833-AFB5-3B9D213283B0:,1187,C1,Toulouse Matabiau - Montauban Ville Bourbon,,2,,,
FR:Line::3FF5E880-AEBD-49CA-8569-5707831CCE72:,1187,P21,La Roche-Sur-Yon - Fontenay-Le-Comte (Pemu),,3,,,
FR:Line::3b2f3002-ee5c-4d19-b926-fa531167b106:,1187,K30,Le Mans - Tours,,2,,,
FR:Line::3e9229c5-ae84-4f9e-98df-93cc2e91b55c:,1187,P11,Rouen - Dieppe,,2,,,
FR:Line::3ebed947-d25a-4cb1-ad23-a6db52a6f082:,1187,L42,42. Le Verdon - Macau - Bordeaux / Pessac,,2,,,
FR:Line::3fa23d9e-14ce-4d2f-abb7-359772543239:,1187,P43,Bourges - Issoudun - Châteauroux (car),,3,,,
FR:Line::3fc62a4f-3e29-4b02-b2f6-dcf93f0f0dd5:,1187,L24,24. Poitiers - Limoges,,2,,,
FR:Line::40f9734e-088d-42d9-9e13-c91880169554:,1187,F41,41.  Bordeaux - Arcachon,,2,,,
FR:Line::417b778d-b82f-42c3-9a55-2dbb7a306070:,1187,C43,Nancy - Remiremont,,2,,,
FR:Line::421CAAD2-E505-425C-81AA-9E984B306F7D:,1187,C28,Lyon Perrache - Firminy,,2,,,
FR:Line::425904CF-2BA3-480E-A35A-C3BF5BAED237:,1187,P29,Besançon - Morteau - Lcdf,,2,,,
FR:Line::42AF2809-56F9-4EDF-982A-B48B1EEF5409:,OCEdefault,K52,52. Bordeaux-Pau-Tarbes,,2,,,
FR:Line::439230F8-6729-42A9-8A9A-760F906CC1A4:,1187,C17,Paris Nord - Beauvais,,2,,,
FR:Line::449C6C52-0504-41C6-A9AE-75CDA5007AD2:,1187,K40,Lille Flandres - St Quentin,,2,,,
FR:Line::4524B161-77C5-4BB9-BD0C-0E84122DF66B:,1187,P54,Metz - Sarrebourg,,2,,,
FR:Line::454E4ABF-BD49-4157-8FE8-BCDD340E2504:,1187,P60,Valenciennes - Jeumont,,2,,,
FR:Line::458f8a7a-6bfe-4108-a9c3-9525e7b448b3:,1187,E03,RE St-Etienne / Valence,,3,,,
FR:Line::45E281C7-AC50-4A23-9B9F-F73234118E78:,1187,C12,Lyon Perrache - Lyon Part Dieu - Roanne,,2,,,
FR:Line::4658FBBB-4701-4FB4-B4FC-DB9B015ECAC7:,1187,P72,Lozanne - Paray Le Monial,,3,,,
FR:Line::468B44B7-C327-4154-B85E-25C67C32B61E:,1187,K1+,Paris - Le Havre,,2,,,
FR:Line::47102940-0922-439f-b9e9-1a93deaec574:,1187,C37+,STRASBOURG - WISSEMBOURG,,2,,,
FR:Line::47258490-F21D-4801-94E9-AE624ED43338:,1187,P15,Communay - Sérézin,,3,,,
FR:Line::481FE34B-4FEA-4C35-8ABE-58CB090620CD:,1187,P52,Hazebrouck - Arras,,2,,,
FR:Line::484B5749-966E-4516-9352-C1ADD9406916:,1187,K3,Le Mans - Paris Montparnasse,,2,,,
FR:Line::4873E985-5075-4572-B1D6-C6A5E8C1DB41:,1187,P37,Strasbourg - Wissembourg,,3,,,
FR:Line::488254BA-F96E-46B1-B55C-BE5DB0CE5CE6:,1187,P78,Frasne - Vallorbe,,3,,,
FR:Line::4887f9fc-de66-44ff-a5fe-199a0de1ca9e:,1187,L15,15. La Rochelle - Rochefort - Saintes - Bordeaux,,2,,,
FR:Line::48E385FB-3189-42D8-AC84-4E936238E05E:,1187,P46,Chartres - Châteaudun - Vendôme - Tours (Car),,3,,,
FR:Line::48d37a58-70b6-4c31-937f-b2a0d2d9cc1a:,1187,C14,Compiègne Paris,,2,,,
FR:Line::49a38037-4ced-4c27-b83a-76b818b8265f:,1187,E02,RE Evian / Grenoble,,3,,,
FR:Line::4ABBAA79-3E62-4460-A385-CEA54EDB5D2D:,1187,P12,Guingamp - Paimpol,,2,,,
