from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id
StopPoint:OCETrain TER-87144345,StopPoint:OCETrain TER-87144345,2,300,,
StopPoint:OCECar TER-87144410,StopPoint:OCECar TER-87144410,2,300,,
StopPoint:OCETrain TER-87144410,StopPoint:OCETrain TER-87144410,2,300,,
StopPoint:OCECar TER-87144428,StopPoint:OCECar TER-87144428,2,300,,
StopPoint:OCETrain TER-87144428,StopPoint:OCETrain TER-87144428,2,300,,
StopPoint:OCECar TER-87144436,StopPoint:OCECar TER-87144436,2,300,,
StopPoint:OCETrain TER-87144436,StopPoint:OCETrain TER-87144436,2,300,,
StopPoint:OCECar TER-87144451,StopPoint:OCECar TER-87144451,2,300,,
StopPoint:OCETrain TER-87144451,StopPoint:OCETrain TER-87144451,2,300,,
StopPoint:OCECar TER-87144626,StopPoint:OCECar TER-87144626,2,300,,
StopPoint:OCETrain TER-87144626,StopPoint:OCETrain TER-87144626,2,300,,
StopPoint:OCECar TER-87144642,StopPoint:OCECar TER-87144642,2,300,,
StopPoint:OCETrain TER-87144642,StopPoint:OCETrain TER-87144642,2,300,,
StopPoint:OCETrain TER-87144683,StopPoint:OCETrain TER-87144683,2,300,,
StopPoint:OCECar TER-87146217,StopPoint:OCECar TER-87146217,2,300,,
StopPoint:OCETrain TER-87146217,StopPoint:OCETrain TER-87146217,2,300,,
StopPoint:OCENavette-87147322,StopPoint:OCENavette-87147322,2,300,,
StopPoint:OCECar TER-87152413,StopPoint:OCECar TER-87152413,2,300,,
StopPoint:OCECar TER-87158006,StopPoint:OCECar TER-87158006,2,300,,
StopPoint:OCETrain TER-87159947,StopPoint:OCETrain TER-87159947,2,300,,
StopPoint:OCECar TER-87165738,StopPoint:OCECar TER-87165738,2,300,,
StopPoint:OCECar TER-87165803,StopPoint:OCECar TER-87165803,2,300,,
StopPoint:OCECar TER-87165852,StopPoint:OCECar TER-87165852,2,300,,
StopPoint:OCECar TER-87165944,StopPoint:OCECar TER-87165944,2,300,,
StopPoint:OCECar TER-87170068,StopPoint:OCECar TER-87170068,2,300,,
StopPoint:OCECar TER-87170357,StopPoint:OCECar TER-87170357,2,300,,
StopPoint:OCECar TER-87170555,StopPoint:OCECar TER-87170555,2,300,,
StopPoint:OCECar TER-87170571,StopPoint:OCECar TER-87170571,2,300,,
StopPoint:OCECar TER-87170696,StopPoint:OCECar TER-87170696,2,300,,
StopPoint:OCECar TER-87170761,StopPoint:OCECar TER-87170761,2,300,,
StopPoint:OCECar TER-87170787,StopPoint:OCECar TER-87170787,2,300,,
StopPoint:OCECar TER-87170795,StopPoint:OCECar TER-87170795,2,300,,
StopPoint:OCECar TER-87170811,StopPoint:OCECar TER-87170811,2,300,,
StopPoint:OCECar TER-87170878,StopPoint:OCECar TER-87170878,2,300,,
StopPoint:OCECar TER-87171009,StopPoint:OCECar TER-87171009,2,300,,
StopPoint:OCETrain TER-87171009,StopPoint:OCETrain TER-87171009,2,300,,
StopPoint:OCETrain TER-87171272,StopPoint:OCETrain TER-87171272,2,300,,
StopPoint:OCECar TER-87171298,StopPoint:OCECar TER-87171298,2,300,,
StopPoint:OCETrain TER-87171298,StopPoint:OCETrain TER-87171298,2,300,,
StopPoint:OCECar TER-87171314,StopPoint:OCECar TER-87171314,2,300,,
StopPoint:OCETrain TER-87171314,StopPoint:OCETrain TER-87171314,2,300,,
StopPoint:OCECar TER-87171322,StopPoint:OCECar TER-87171322,2,300,,
StopPoint:OCETrain TER-87171322,StopPoint:OCETrain TER-87171322,2,300,,
StopPoint:OCECar TER-87171330,StopPoint:OCECar TER-87171330,2,300,,
StopPoint:OCETrain TER-87171330,StopPoint:OCETrain TER-87171330,2,300,,
StopPoint:OCETrain TER-87171462,StopPoint:OCETrain TER-87171462,2,300,,
